Product,Usage Identifier,nrFpuEdition,nrUnitOfMeasure
New Relic - Additional Synthetics Checks (PAYG) Usage Quantity,Checks,,Checks
New Relic - Data (APoF) (EU Data Center) Usage Quantity,EU GB Ingested,,EU GB Ingested
New Relic - Data (APoF) (US Data Center) Usage Quantity,US GB Ingested,,US GB Ingested
New Relic - Data (PAYG) (EU Data Center) Usage Quantity,EU GB Ingested,,EU GB Ingested
New Relic - Data (PAYG) (US Data Center) Usage Quantity,US GB Ingested,,US GB Ingested
New Relic - Data Plus (APoF) (EU Data Center) Usage Quantity,EU GB Ingested,,EU GB Ingested
New Relic - Data Plus (APoF) (US Data Center) Usage Quantity,US GB Ingested,,US GB Ingested
New Relic - Data Plus (APoF) Usage Quantity,GB Ingested,,GB Ingested
New Relic - Data Plus (PAYG) (EU Data Center) Usage Quantity,EU GB Ingested,,EU GB Ingested
New Relic - Data Plus (PAYG) (US Data Center) Usage Quantity,US GB Ingested,,US GB Ingested
New Relic - Data Plus (PAYG) Usage Quantity,GB Ingested,,GB Ingested
New Relic APOF - Extended Data Retention (EDR) (EU DC) Usage Quantity,EU GB Ingested,,EU GB Ingested
New Relic APOF - Extended Data Retention (EDR) (US DC) Usage Quantity,US GB Ingested,,US GB Ingested
New Relic One - Data (APoF) Usage Quantity,GB Ingested,,GB Ingested
New Relic One - Data (PAYG) Usage Quantity,GB Ingested,,GB Ingested
New Relic One - Data Nonprofit (PAYG) Usage Quantity,GB Ingested,,GB Ingested
New Relic One - Enterprise Users (PAYG) Usage Quantity,MPU Enterprise,Enterprise,MPU
New Relic One - Pro Users (PAYG) Usage Quantity,MPU Pro,Pro,MPU
New Relic One - Pro Users Nonprofit (PAYG) Usage Quantity,MPU Pro,Pro,MPU
New Relic One - Standard Users (PAYG) Usage Quantity,MPU Standard,Std,MPU
New Relic One - Standard Users Nonprofit (PAYG) Usage Quantity,MPU Standard,Std,MPU
New Relic PAYG - Advanced Compute (EU DC) Usage Quantity,EU Advanced CCU,,EU Advanced CCU
